"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels","Alpha",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2063.78 4","J","(1-,2,3-)","","383.21 9 ,   1022.68 6 ,   1100.41 5",",  ,",", ,","1680.56,    1041.122,     963.358","1-, 3-, 1-","",
"2069.31 8","J","0+,1,2,3-","","388.75 7 ,   1947.6 3",",",",","1680.56,     121.7818","1-, 2+","",
"2070.83 8","JK","3-,4,5-","","849.14 7 ,   1030.21 24","61 5 ,     100 7",",","1221.64,    1041.122","5-, 3-","",
"2079.57 4","F    K","10+","","200.52 4 ,    413.11 3 ,    470.36 5 ,    953.84 9","11.9 4 ,     100 3 ,      10.0 3 ,       8.5 3",", E2, M1,","1879.14,    1666.45,    1609.26,    1125.39","9-, 8+, 10+, 8+","",
"2091.21 4","A        JK","1-,2","","1050.10 5 ,   1127.84 5","100 7 ,      82 7",",","1041.122,     963.358","3-, 1-","",
"2091.66 7","A        J","","","1969.86 7","","","121.7818","2+","",
"2096.82 5","G  J","3+,4","","537.12 7 ,    725.13 5",",",",","1559.62,    1371.735","5+, 4+","",
"2112.71 5","J  MN","(2+,3,4+)","","1071.48 7 ,   1746.27 6 ,   1991.02 11",",  ,",", ,","1041.122,     366.4793,     121.7818","3-, 4+, 2+","",
"2120.98 7","C  F","7-","2.4 ns 2","63.51 5 ,    200.6 1","67 9 ,     100","[M1,E2], [M1,E2]","2057.52,    1920.46","7-, 6-","",
"2127.17 7","A        J","0+,1,2","","616.0 3 ,   1317.4 5 ,   2005.38 7","8 8 ,     100 8 ,      85 8",", ,","1510.790,     810.453,     121.7818","1-, 2+, 2+","",
"2129.84 5","J","(1+,2,3-)","","896.12 7 ,   1166.34 7",",",",","1233.863,     963.358","3+, 1-","",
"2137.69 6","J","","","1327.23 6","","","810.453","2+","",
"2137.92 6","J","(2+,3,4+)","","1771.33 10 ,   2016.17 7",",",",","366.4793,     121.7818","4+, 2+","",
"2138.17 12","K","2+","","1096.96 12 ,   1116.9 6 ,   1327.7 5 ,   1454.0 8","100 4 ,      15.9 19 ,      15.0 14 ,       7.0 10",", , ,","1041.122,    1022.970,     810.453,     684.751","3-, 4+, 2+, 0+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2139.71 4","F    K","8+","","260.60 23 ,    411.65 6 ,    633.85 5 ,   1014.28 4 ,   1432.93 19","1.12 15 ,      16.0 7 ,      19.4 7 ,     100 3 ,       8.9 4",", , , ,","1879.14,    1728.27,    1505.77,    1125.39,     706.928","9-, 6+, 7-, 8+, 6+","",
"2146 3","M","","","","","","","","",
"2148.81 5","F    K           W","12+","","539.50 3","","E2","1609.26","10+","",
"2167.0 6","A","0+,1,2","","2045.2 6","","","121.7818","2+","",
"2172.60 23","A","1,2+","","642.8 3 ,    661.7 4 ,   1488.1 6","67 7 ,     100 7 ,      13 7",", ,","1529.802,    1510.790,     684.751","2-, 1-, 0+","",
"2175.7 10","A","0+,1,2,3-","","2053.9 10","","","121.7818","2+","",
"2176.62 16","K","7-","","510.0,    670.7 3 ,    866.2 4 ,    955.03 20","21 4 ,      31 4 ,      38 4 ,     100 6",", , ,","1666.45,    1505.77,    1310.505,    1221.64","8+, 7-, 6+, 5-","",
"2194 3","LM","","","","","","","","",
"2201.20 12","A","0+,1,2","","2079.3 4","","","121.7818","2+","",
"2201.47 7","F    K","8-","","255.6 1 ,    271.3 1 ,    322.2 1 ,   1075 1","100 3 ,      18,       6.1 18 ,       7 4","E1, , ,","1945.90,    1930.17,    1879.14,    1125.39","7+, , 9-, 8+","",
"2206","F","7+","","260,    276,    478,   1081,   1499",",  ,  ,  ,",", , , ,","1945.90,    1929.93,    1728.27,    1125.39,     706.928","7+, 6-, 6+, 8+, 6+","",
"2214.98 7","F    K","8-","","157.3 1 ,    269.0 1 ,    294.4 1","100 10 ,      73,      89","M1+E2, , E2","2057.52,    1945.90,    1920.46","7-, 7+, 6-","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2224.8 5","A","1,2+","","2224.8 5","","","0.0","0+","",
"2227.71 22","K","(5-,6,7-)","","722.3 3 ,   1005.7 3","55 5 ,     100 10",",","1505.77,    1221.64","7-, 5-","",
"2237.3 5","A     G","1,2","","727.1 7 ,   1274.4 7 ,   2114.2 8","67 33 ,     100 33 ,      67 33",", ,","1510.790,     963.358,     121.7818","1-, 1-, 2+","",
"2239.8 3","A","2+","","1873.1 10 ,   2118.0 3 ,   2239.7 8","8 8 ,     100 8 ,      31 8",", ,","366.4793,     121.7818,       0.0","4+, 2+, 0+","",
"2263.9 4","K","6+,7,8+","","1138.3 5 ,   1557.1 4","45 5 ,     100 7",",","1125.39,     706.928","8+, 6+","",
"2268 5","N","2+","","","","","","","",
"2269.87 8","F","8-","","148.95 5","","M1+E2","2120.98","7-","",
"2284.96 20","A         K M","0,1,2","","1321.6 2","","","963.358","1-","",
"2287.4 10","A","0+,1,2,3-","","2165.6 10","","","121.7818","2+","",
"2290.37 7","F    K","9-","","623.9,    681.6 3 ,    783.9 4 ,   1165.0 2","52.1 24 ,      49 4 ,       7.5 9 ,     100 4",", D+Q, , E1","1666.45,    1609.26,    1505.77,    1125.39","8+, 10+, 7-, 8+","",
"2295.3 3","A","1-,2","","1253.2 6 ,   1332.0 4 ,   2175.0 8","100 25 ,      75 25 ,     100 25",", ,","1041.122,     963.358,     121.7818","3-, 1-, 2+","",
"2308.6 4","F","","","1183.2 4","","","1125.39","8+","",
"2308.9 5","A","1,2+","","2187.0 6 ,   2309.1 9","100 20 ,      80 20",",","121.7818,       0.0","2+, 0+","",
"2320.35 23","B","4+,5","","516.3 4 ,   1297.8 5 ,   1613.4 6 ,   1953.7 4","100 10 ,       7 7 ,      13 3 ,      30 7",", , ,","1803.94,    1022.970,     706.928,     366.4793","5-, 4+, 6+, 4+","",
"2326.94 5","F    K","11-","","448.18 23 ,    717.78 4","5.4 5 ,     100 3",", E1","1879.14,    1609.26","9-, 10+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"2340 3","MN","","","","","","","","",
"2348.76 7","F    K","","","682.11 9 ,    843.36 17 ,   1223.47 9","55.9 23 ,      31.2 17 ,     100 4",", ,","1666.45,    1505.77,    1125.39","8+, 7-, 8+","",
"2359.8 3","F","","","1234.4 3","","","1125.39","8+","",
"2367.3 3","A","1-,2","","1326.4 3 ,   1403.0 6","60 20 ,     100 20",",","1041.122,     963.358","3-, 1-","",
